time,magnitude,latitude,longtitude
2017-11-15 14:29:31 ,5.4,36.11,129.37
2017-11-15 14:32:59 ,3.6,36.1,129.36
2017-11-15 14:46:00 ,2.5,36.12,129.39
2017-11-15 14:50:05 ,2.4,36.1,129.36
2017-11-15 14:52:55 ,2.4,36.11,129.35
2017-11-15 14:56:32 ,2.8,36.1,129.35
2017-11-15 14:58:19 ,2.9,36.12,129.37
2017-11-15 15:00:54 ,2.9,36.11,129.35
2017-11-15 15:09:49 ,3.5,36.09,129.34
2017-11-15 15:14:59 ,2.5,36.11,129.35
2017-11-15 15:19:46 ,2.4,36.14,129.38
2017-11-15 15:23:50 ,2.6,36.09,129.35
2017-11-15 15:36:19 ,2.3,36.09,129.33
2017-11-15 15:55:00 ,2.2,36.12,129.37
2017-11-15 16:11:00 ,2.9,36.13,129.36
2017-11-15 16:16:17 ,2.4,36.09,129.35
2017-11-15 16:18:36 ,2,36.14,129.36
2017-11-15 16:49:30 ,4.3,36.12,129.36
2017-11-15 16:57:53 ,2.2,36.14,129.37
2017-11-15 17:11:10 ,2.8,36.08,129.31
2017-11-15 17:42:53 ,2.2,36.14,129.37
2017-11-15 18:41:46 ,2.1,36.09,129.32
2017-11-15 18:48:23 ,2.1,36.14,129.38
2017-11-15 18:51:33 ,2,36.14,129.38
2017-11-15 18:57:36 ,2.3,36.11,129.35
2017-11-15 18:58:26 ,2.2,36.1,129.35
2017-11-15 18:59:38 ,2.1,36.11,129.35
2017-11-15 20:54:25 ,2.4,36.1,129.35
2017-11-15 21:35:25 ,2,36.11,129.36
2017-11-15 21:59:27 ,2.1,36.14,129.36
2017-11-15 22:24:30 ,2.1,36.14,129.38
2017-11-15 22:43:12 ,2.1,36.1,129.36
2017-11-15 23:05:16 ,2,36.1,129.36
2017-11-15 23:18:07 ,2.1,36.13,129.38
2017-11-16 0:21:53 ,2.4,36.14,129.35
2017-11-16 0:38:14 ,2,36.09,129.35
2017-11-16 1:23:12 ,2.1,36.09,129.35
2017-11-16 1:36:05 ,2.5,36.14,129.36
2017-11-16 2:37:43 ,2.3,36.14,129.37
2017-11-16 5:03:37 ,2,36.08,129.34
2017-11-16 5:54:11 ,2.5,36.09,129.34
2017-11-16 9:02:42 ,3.6,36.12,129.37
2017-11-16 9:47:28 ,2.1,36.12,129.37
2017-11-16 10:37:34 ,2.3,36.1,129.35
2017-11-16 14:04:04 ,2.3,36.13,129.37
2017-11-16 14:31:09 ,2,36.1,129.34
2017-11-16 16:48:31 ,2.4,36.12,129.36
2017-11-16 17:31:21 ,2,36.11,129.37
2017-11-16 17:32:49 ,2.2,36.12,129.36
2017-11-16 19:05:05 ,2.4,36.12,129.36
2017-11-17 1:17:01 ,2.1,36.08,129.33
2017-11-17 8:25:50 ,2.1,36.12,129.37
2017-11-17 18:57:15 ,2.6,36.1,129.35
2017-11-19 1:18:38 ,2,36.11,129.34
2017-11-19 3:33:31 ,2.4,36.09,129.35
2017-11-19 5:07:05 ,2.1,36.12,129.38
2017-11-19 6:40:59 ,2.2,36.09,129.34
2017-11-19 23:45:47 ,3.5,36.12,129.36
2017-11-20 6:05:15 ,3.6,36.14,129.36
2017-11-21 5:58:34 ,2,36.09,129.35
2017-11-21 8:57:29 ,2.1,36.09,129.34
2017-11-21 9:53:01 ,2.4,36.11,129.33
2017-11-22 12:41:46 ,2.5,36.1,129.35
2017-11-22 22:15:41 ,2,36.12,129.35
2017-11-23 23:27:05 ,2.3,36.11,129.37
2017-11-24 0:29:56 ,2.6,37.23,125.04
2017-11-24 1:17:27 ,2.3,36.11,129.35
2017-11-24 21:27:25 ,2.3,34.05,125.57
2017-11-25 12:51:11 ,2,36.1,129.35
2017-11-25 14:10:41 ,2.3,36.11,129.35
2017-11-26 3:13:48 ,2.9,36.69,124.65
2017-12-01 8:03:26 ,2.4,36.1,129.35
2017-12-01 16:23:48 ,2.7,33.24,127.32
2017-12-02 7:45:56 ,2.5,41.32,129.2
2017-12-03 1:13:47 ,2.1,36.75,128.82
2017-12-04 21:55:47 ,2.5,33.42,127.15
2017-12-05 21:19:32 ,2.1,36.02,129.45
2017-12-05 23:40:53 ,2.7,41.32,129.13
2017-12-09 1:49:59 ,2.2,36.1,129.35
2017-12-09 2:39:18 ,2.3,36.1,129.35
2017-12-09 15:13:35 ,3,41.32,129.1
2017-12-09 15:40:02 ,2.8,41.31,129.11
2017-12-09 16:15:37 ,2.3,35.61,129.99
2017-12-12 10:06:04 ,2.5,38.32,126.18
2017-12-19 13:34:28 ,2.1,35.77,129.42
2017-12-20 19:22:34 ,2.3,36.09,125.64
2017-12-21 12:01:12 ,2,36.72,128.01
2017-12-22 12:35:29 ,2.2,39.31,127.15
2017-12-25 16:19:22 ,3.5,36.11,129.36
2017-12-25 16:32:02 ,2.1,36.11,129.36
2017-12-26 4:05:46 ,2.2,36.14,129.37
2017-12-27 19:27:45 ,2.8,36.11,129.36
2017-12-27 19:42:44 ,2.3,36.11,129.36
2017-12-29 17:40:22 ,2.1,36.11,129.34
2017-12-30 19:44:13 ,2,35.76,129.17
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
